IncidentId,CreateDate,IcmType,Severity,Status,ChildCount,OwningTeamName,OwningContactAlias,Title,AcknowledgeTeamId,AcknowledgeTeamName,TenantName,AcknowledgeDateInDate,AcknowledgeDate,AcknowledgeContactAlias,IcmLink,AckType
706937781,2025-11-05 04:00:24.553000+00:00,CRI,2,RESOLVED,0,AZURERT\PPS,liuzhang,[AEMEventAlert] [2511050030002163]: [TEMU] VM creation failed -FastPath VM Allocation with PreProvisioning failed due to MAC Transfer failure,82812,RNC,Cloudnet,2025-11-05,2025-11-05 05:33:29.360000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/706937781/summary,Incident Transferred
693123777,2025-10-02 18:32:34.680000+00:00,LiveSite,25,MITIGATED,0,CLOUDNET\Networking-RDFE,,Cleanup unused VNET and reserved IPs,10661,RNM,Cloudnet,2025-11-05,2025-11-05 17:06:13.610000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/693123777/summary,Incident Transferred
704576832,2025-10-30 09:55:06.520000+00:00,CRI,2,MITIGATED,0,AZNETSOVEREIGN\AzNetSov-SDN,tarmalhotra,[CRP.IR][GovSG] BVT failing AvailabilitySetWithInternalVMOrchestratorScenarioTests.VMs_AvSet_InternalVmss_Create_Update_Delete_ManagedDisk_TestMethodWrapper,10475,Network Manager,Cloudnet,2025-11-05,2025-11-05 18:40:12.320000+00:00,jiancai,https://portal.microsofticm.com/imp/v5/incidents/details/704576832/summary,Incident Transferred
707260796,2025-11-05 21:24:26.717000+00:00,LiveSite,2,MITIGATED,1,CLOUDNET\RNM,ambhatta,"[Prod_USWest2, fabric:/rnm/macmanager/06] Lock Timeout Detected",10661,RNM,Cloudnet,2025-11-05,2025-11-05 21:28:29.300000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707260796/summary,Incident Transferred
707263525,2025-11-05 21:32:21.663000+00:00,LiveSite,3,MITIGATED,0,AZURECONTAINERSERVICE\RP,dsalamanca,OpenAI Private Link creation not working for AKS,68685,PrivateLink_ControlPlane,Cloudnet,2025-11-05,2025-11-05 22:01:08.870000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707263525/summary,Incident Transferred
706631436,2025-11-04 12:36:03.107000+00:00,LiveSite,2,MITIGATED,0,CLOUDNET\RNC,ambhatta,[Aggregate][VnetAgent crash monitor][CBN09PRDAPP10] 100% children Unhealthy,82812,RNC,Cloudnet,2025-11-05,2025-11-05 22:10:07.250000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/706631436/summary,Incident Transferred
707281134,2025-11-05 22:24:38.350000+00:00,Runner,2,MITIGATED,0,CLOUDNET\RNM,ambhatta,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PERunner Region: uswest2 Instance: azfPERunneruswest2PairuswestProd Phase: PE-Create,10661,RNM,Cloudnet,2025-11-05,2025-11-05 22:32:19.980000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707281134/summary,Incident Transferred
707284047,2025-11-05 22:32:24.780000+00:00,Runner,2,MITIGATED,1,CLOUDNET\RNM,erlicai,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PEAzureSearch Region: europenorth Instance: azfPEAzureSearcheuropenorthPaireuropewestProd Phase: PE-Create,10661,RNM,Cloudnet,2025-11-05,2025-11-05 22:39:10.020000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707284047/summary,Incident Transferred
701782121,2025-10-23 21:34:34.187000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\SDNBuildout-IDC,jishnubiswas,[Emergency Broadcast]: Ocean View- SR08 - MSPKI Cert Revocation - Pacific - 7ecdbd40-fe6a-4d66-bb95-dab4ee9c8fce,75939,IDC-NRP,Cloudnet,2025-11-06,2025-11-06 00:16:45.703000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/701782121/summary,Incident Transferred
704576832,2025-10-30 09:55:06.520000+00:00,CRI,2,MITIGATED,0,AZNETSOVEREIGN\AzNetSov-SDN,tarmalhotra,[CRP.IR][GovSG] BVT failing AvailabilitySetWithInternalVMOrchestratorScenarioTests.VMs_AvSet_InternalVmss_Create_Update_Delete_ManagedDisk_TestMethodWrapper,82812,RNC,Cloudnet,2025-11-06,2025-11-06 00:31:09.980000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/704576832/summary,Incident Transferred
707330687,2025-11-06 00:33:23.563000+00:00,LiveSite,2,MITIGATED,0,CLOUDNET\RNM,ambhatta,"[Prod_USWest2, fabric:/rnm/macmanager/12] Lock Timeout Detected",10661,RNM,Cloudnet,2025-11-06,2025-11-06 00:38:45.163000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707330687/summary,Incident Transferred
707443333,2025-11-06 06:35:47.607000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\NRP,piyushmishra,"[Prod_JapanEast, fabric:/rnm/vipmanager/24] Lock Timeout Detected",10661,RNM,Cloudnet,2025-11-06,2025-11-06 06:38:27.517000+00:00,v-chrajak,https://portal.microsofticm.com/imp/v5/incidents/details/707443333/summary,Incident Transferred
707443333,2025-11-06 06:35:47.607000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\NRP,piyushmishra,"[Prod_JapanEast, fabric:/rnm/vipmanager/24] Lock Timeout Detected",10549,NRP,Cloudnet,2025-11-06,2025-11-06 08:39:24.590000+00:00,v-ashokpa,https://portal.microsofticm.com/imp/v5/incidents/details/707443333/summary,Incident Transferred
707442228,2025-11-06 06:32:14.003000+00:00,CRI,2,RESOLVED,0,SERVICEFABRICSERVICE\SFRP,rodrigueze,VMSS Buildout failing in bleu,10549,NRP,Cloudnet,2025-11-06,2025-11-06 09:44:27.067000+00:00,v-ashokpa,https://portal.microsofticm.com/imp/v5/incidents/details/707442228/summary,Incident Transferred
707533034,2025-11-06 11:19:17.277000+00:00,Runner,25,RESOLVED,0,CLOUDNET\SDNE2ERunners,cesarlazo,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: uscentraleuap Instance: azfRNCSharedVNetNicCaUpdateRunneruscentraleuapProd Phase: DeployProviderArmTemplate,82812,RNC,Cloudnet,2025-11-06,2025-11-06 11:24:30.610000+00:00,v-chrajak,https://portal.microsofticm.com/imp/v5/incidents/details/707533034/summary,Incident Transferred
